ExperienceYears,MonthlyHours,TrainingHours,JobSatisfaction,StressLevel,PerformanceCategory
2,180,20,6,7,0
6,200,35,8,5,1
4,190,25,7,6,0
12,220,40,4,8,0
8,210,30,6,7,1
3,185,22,7,6,0
15,230,45,3,9,0
5,195,28,6,6,1
10,215,38,5,7,1
7,205,32,6,6,1
16,235,48,3,9,0
3,180,22,7,6,0
9,210,36,5,7,1
11,220,40,4,8,0
2,175,18,8,5,1
10,215,37,5,7,1
14,225,42,4,8,0
6,195,30,6,6,1
9,210,35,5,7,1
13,230,43,3,9,0
4,185,25,7,6,0
8,205,32,6,6,1
17,240,50,3,9,0
3,180,22,7,6,0
7,200,30,6,6,1
12,225,40,4,8,0
3,175,18,8,5,1
10,215,36,5,7,1
15,230,45,3,9,0
5,190,28,7,6,1
9,205,34,6,6,1
12,220,40,4,8,0
2,170,18,8,5,1
10,215,37,5,7,1
16,235,48,3,9,0
4,185,25,7,6,0
8,205,32,6,6,1
13,230,43,3,9,0
6,195,30,6,6,1
9,210,35,5,7,1
14,225,42,4,8,0
3,180,22,7,6,0
7,200,30,6,6,1
12,225,40,4,8,0
3,175,18,8,5,1
10,215,36,5,7,1
15,230,45,3,9,0
