Income,LoanAmount,CreditScore,LatePayments,UtilizationRate,CreditRiskCategory
8,3,720,1,32,0
12,5,680,2,45,1
6,2,650,3,50,1
15,7,780,0,28,0
10,4,710,1,35,0
9,3,690,2,40,1
16,8,800,0,25,0
7,2,640,3,52,1
13,6,750,1,30,0
11,5,700,2,38,1
17,9,820,0,20,0
6,2,630,4,55,1
14,7,760,1,27,0
9,3,670,3,48,1
15,8,790,0,24,0
8,3,660,3,50,1
12,5,720,1,29,0
16,9,810,0,21,0
10,4,700,2,34,1
14,7,760,1,26,0
7,2,640,4,53,1
13,6,740,1,31,0
17,9,830,0,19,0
9,3,680,3,41,1
15,8,795,0,23,0
6,2,620,4,56,1
12,5,710,1,30,0
16,9,805,0,22,0
10,4,690,2,36,1
14,7,755,1,28,0
8,3,650,3,49,1
13,6,745,1,32,0
17,9,825,0,20,0
9,3,675,3,39,1
15,8,790,0,24,0
7,2,630,4,54,1
12,5,715,1,29,0
16,9,810,0,21,0
10,4,695,2,35,1
14,7,760,1,27,0
8,3,655,3,44,1
13,6,740,1,33,0
17,9,828,0,19,0
9,3,670,3,40,1
15,8,792,0,23,0
7,2,635,4,50,1
12,5,718,1,30,0
16,9,812,0,22,0
10,4,698,2,34,1
14,7,758,1,26,0
