Distance,LoadWeight,AvgSpeed,TrafficIndex,WeatherSeverity,ShipmentDelay
120,800,55,6,3,0
150,1200,50,8,6,1
90,600,60,4,2,0
200,1500,48,9,7,1
170,1100,52,7,5,1
130,900,58,5,3,0
210,1600,47,9,8,1
95,650,62,4,2,0
180,1300,53,7,6,1
140,950,57,6,3,0
220,1700,46,9,8,1
100,700,61,5,2,0
160,1150,54,7,5,1
190,1400,49,8,6,1
85,550,63,3,1,0
175,1250,52,7,6,1
205,1550,47,9,7,1
110,750,59,5,3,0
165,1180,55,7,5,1
195,1450,50,8,6,1
125,850,57,6,3,0
185,1350,51,7,6,1
215,1650,46,9,8,1
105,720,60,4,2,0
155,1120,53,7,5,1
198,1480,49,8,7,1
88,580,64,3,1,0
172,1280,52,7,6,1
208,1580,47,9,7,1
115,780,58,5,3,0
168,1200,54,7,5,1
192,1420,50,8,6,1
92,620,63,4,2,0
178,1320,53,7,6,1
212,1620,46,9,8,1
108,740,59,5,3,0
158,1100,55,7,5,1
200,1500,48,8,7,1
97,680,62,4,2,0
170,1250,52,7,6,1
205,1550,47,9,7,1
112,760,58,5,3,0
162,1180,54,7,5,1
190,1400,49,8,6,1
90,600,63,3,1,0
176,1300,52,7,6,1
210,1600,47,9,8,1
118,800,57,6,3,0
166,1190,55,7,5,1
194,1430,50,8,6,1
94,640,62,4,2,0
174,1270,53,7,6,1
209,1590,47,9,7,1
