Distance,LoadWeight,AvgSpeed,TrafficIndex,IdleTime,Delayed
120,800,55,6,12,0
150,1200,50,8,20,1
90,600,60,4,10,0
200,1500,48,9,25,1
170,1100,52,7,18,1
130,900,58,5,14,0
210,1600,47,9,28,1
95,650,62,4,9,0
180,1300,53,7,19,1
140,950,57,6,13,0
220,1700,46,9,30,1
100,700,61,5,11,0
160,1150,54,7,17,1
190,1400,49,8,23,1
85,550,63,3,8,0
175,1250,52,7,18,1
205,1550,47,9,27,1
110,750,59,5,12,0
165,1180,55,7,16,1
195,1450,50,8,22,1
125,850,57,6,14,0
185,1350,51,7,20,1
215,1650,46,9,29,1
105,720,60,4,10,0
155,1120,53,7,17,1
198,1480,49,8,24,1
88,580,64,3,7,0
172,1280,52,7,19,1
208,1580,47,9,26,1
115,780,58,5,11,0
168,1200,54,7,16,1
192,1420,50,8,22,1
92,620,63,4,9,0
178,1320,53,7,18,1
212,1620,46,9,28,1
108,740,59,5,12,0
158,1100,55,7,15,1
200,1500,48,8,25,1
97,680,62,4,10,0
170,1250,52,7,18,1
205,1550,47,9,27,1
112,760,58,5,12,0
162,1180,54,7,16,1
190,1400,49,8,23,1
90,600,63,3,8,0
176,1300,52,7,19,1
210,1600,47,9,28,1
118,800,57,6,13,0
166,1190,55,7,16,1
194,1430,50,8,22,1
94,640,62,4,9,0
174,1270,53,7,18,1
209,1590,47,9,27,1
102,710,60,4,10,0
152,1100,53,7,17,1
199,1490,49,8,24,1
89,590,64,3,7,0
171,1260,52,7,19,1
207,1570,47,9,26,1
