ExperienceYears,TrainingHours,PerformanceRating,LeadershipScore,ProjectsLed,Promoted
2,20,6,5,0,0
5,35,8,6,2,1
3,25,7,5,1,0
7,40,9,7,3,1
4,30,7,6,1,0
6,38,8,6,2,1
8,45,9,8,4,1
2,22,6,5,0,0
5,34,8,6,2,1
7,42,9,7,3,1
3,26,7,5,1,0
6,37,8,6,2,1
9,48,9,8,4,1
4,29,7,6,1,0
8,44,9,8,4,1
2,21,6,5,0,0
5,33,8,6,2,1
7,41,9,7,3,1
3,27,7,5,1,0
6,36,8,6,2,1
9,49,9,8,4,1
4,28,7,6,1,0
8,46,9,8,4,1
2,23,6,5,0,0
5,32,8,6,2,1
7,43,9,7,3,1
3,24,7,5,1,0
6,39,8,6,2,1
9,47,9,8,4,1
4,31,7,6,1,0
8,45,9,8,4,1
2,20,6,5,0,0
5,35,8,6,2,1
7,40,9,7,3,1
3,25,7,5,1,0
6,38,8,6,2,1
9,48,9,8,4,1
4,30,7,6,1,0
8,44,9,8,4,1
2,22,6,5,0,0
5,34,8,6,2,1
7,42,9,7,3,1
3,26,7,5,1,0
6,37,8,6,2,1
9,49,9,8,4,1
4,29,7,6,1,0
8,46,9,8,4,1
2,23,6,5,0,0
5,32,8,6,2,1
7,43,9,7,3,1
3,24,7,5,1,0
6,39,8,6,2,1
9,47,9,8,4,1
