ID,Character,Part,Role,Power_Type,Stand_Name,Stand_Type,Power,Speed,Range,Durability,Precision,Potential,Nationality,Alignment,Status
1,Jonathan Joestar,Phantom Blood,JoJo,Hamon,None,None,8,7,1,9,6,5,British,Good,Dead
2,Will A. Zeppeli,Phantom Blood,Ally,Hamon,None,None,7,6,1,7,7,5,Italian,Good,Dead
3,Dire,Phantom Blood,Ally,Hamon,None,None,6,6,1,6,6,4,Unknown,Good,Dead
4,Straizo,Phantom Blood,Villain,Hamon,None,None,7,6,1,7,6,5,Unknown,Evil,Dead
5,Joseph Joestar,Battle Tendency,JoJo,Hamon,None,None,8,8,1,7,8,8,American,Good,Alive
6,Caesar Zeppeli,Battle Tendency,Ally,Hamon,None,None,8,7,1,7,7,6,Italian,Good,Dead
7,Lisa Lisa,Battle Tendency,Ally,Hamon,None,None,9,8,1,8,8,6,Italian,Good,Alive
8,Kars,Battle Tendency,Villain,Other,None,None,10,9,3,10,8,6,Unknown,Evil,Alive
9,Wamuu,Battle Tendency,Villain,Other,None,None,9,9,2,9,7,4,Unknown,Evil,Dead
10,Esidisi,Battle Tendency,Villain,Other,None,None,8,7,2,8,6,4,Unknown,Evil,Dead
11,Jotaro Kujo,Stardust Crusaders,JoJo,Stand,Star Platinum,Close-range,10,10,2,9,8,6,Japanese,Good,Alive
12,Noriaki Kakyoin,Stardust Crusaders,Ally,Stand,Hierophant Green,Long-range,8,7,8,6,8,6,Japanese,Good,Dead
13,Muhammad Avdol,Stardust Crusaders,Ally,Stand,Magician's Red,Long-range,8,7,6,7,7,5,Egyptian,Good,Dead
14,Jean Pierre Polnareff,Stardust Crusaders,Ally,Stand,Silver Chariot,Close-range,8,9,2,6,7,6,French,Good,Alive
15,Iggy,Stardust Crusaders,Ally,Stand,The Fool,Close-range,7,7,3,6,6,5,American,Good,Dead
16,Dio Brando,Stardust Crusaders,Villain,Stand,The World,Close-range,10,9,2,9,7,6,British,Evil,Dead
17,Vanilla Ice,Stardust Crusaders,Villain,Stand,Cream,Dimensional,9,8,3,8,6,4,Unknown,Evil,Dead
18,Enya the Hag,Stardust Crusaders,Villain,Stand,Justice,Long-range,7,5,10,5,7,4,Unknown,Evil,Dead
19,Hol Horse,Stardust Crusaders,Villain,Stand,Emperor,Long-range,7,6,10,5,6,5,American,Evil,Alive
20,J. Geil,Stardust Crusaders,Villain,Stand,Hanged Man,Long-range,8,8,10,6,6,5,Unknown,Evil,Dead
21,Daniel J. D'Arby,Stardust Crusaders,Villain,Stand,Osiris,Automatic,6,5,5,5,8,6,American,Evil,Dead
22,Telence T. D'Arby,Stardust Crusaders,Villain,Stand,Atum,Automatic,7,6,5,6,8,6,American,Evil,Dead
23,Pet Shop,Stardust Crusaders,Villain,Stand,Horus,Long-range,8,8,8,7,6,5,Unknown,Evil,Dead
24,Oingo,Stardust Crusaders,Villain,Stand,Khnum,Automatic,5,5,1,5,6,5,Unknown,Evil,Alive
25,Boingo,Stardust Crusaders,Villain,Stand,Tohth,Automatic,6,5,5,5,7,6,Unknown,Evil,Alive
